chr	start	end	DNA average	DNA rank	Group	P7 CM P300 binding	ID	RNA average	RNA:DNA average
chr1	118479205	118479605	281.8450769	139	BNA_TF_H3K27ac	255	716	654.4588102	2.322051594
chr1	120757155	120757555	706.3304493	1806	BNA_TF_H3K27ac	101	1003	100.7091677	0.14258081
chr1	126484752	126485152	1179.855347	777	BNA_TF_H3K27ac	136	654	605.3741613	0.513091849
chr1	126801726	126802126	763.9876657	89	BNA_TF_H3K27ac	167	1028	2197.005917	2.875708622
chr1	127348308	127348708	379.2766846	797	BNA_TF_H3K27ac	90	801	189.1624781	0.498745338
chr11	31663437	31663837	1055.330524	130	BNA_TF_H3K27ac	88	1008	2484.948715	2.354663926
chr11	32946460	32946860	2020.957197	585	BNA_TF_H3K27ac	236	1005	1360.785062	0.673336904
chr1	131345321	131345721	339.1423876	1092	BNA_TF_H3K27ac	148	1249	125.5368211	0.370159631
chr1	134103796	134104196	1144.582192	274	BNA_TF_H3K27ac	200	1215	1633.67889	1.427314615
chr1	134858606	134859006	17.25276761	238	BNA_TF_H3K27ac	242	619	27.75159748	1.608530185
chr1	135098546	135098946	499.645993	132	BNA_TF_H3K27ac	87	664	1175.537284	2.352740342
chr11	43820714	43821114	85.30296319	1369	BNA_TF_H3K27ac	136	1166	24.17291284	0.283377176
chr11	43865568	43865968	373.185461	126	BNA_TF_H3K27ac	171	951	889.3629366	2.383166092
chr11	44243195	44243595	1588.720044	1267	BNA_TF_H3K27ac	258	633	501.978488	0.315964093
chr1	143577005	143577405	203.4557079	646	BNA_TF_H3K27ac	112	1260	126.2896803	0.620723211
chr11	5165596	5165996	466.0525643	438	BNA_TF_H3K27ac	136	974	419.2351136	0.899544699
chr1	151171337	151171737	79.33875583	1405	BNA_TF_H3K27ac	96	638	21.69348468	0.273428597
chr11	54064595	54064995	144.970752	189	BNA_TF_H3K27ac	83	671	270.8271873	1.868150531
chr11	54122314	54122714	3064.321344	251	BNA_TF_H3K27ac	116	663	4749.649085	1.54998401
chr1	152168198	152168598	415.0242716	235	BNA_TF_H3K27ac	195	1185	670.6202398	1.61585788
chr11	59002525	59002925	48.22954778	162	BNA_TF_H3K27ac	113	673	103.3067006	2.141979457
chr11	66993632	66994032	140.547231	1252	BNA_TF_H3K27ac	85	1228	44.78708381	0.318662157
chr1	165684779	165685179	1308.562445	1268	BNA_TF_H3K27ac	87	1064	412.6374465	0.315336458
chr11	68203887	68204287	546.3968832	1280	BNA_TF_H3K27ac	127	1281	170.2992337	0.311676803
chr1	167365694	167366094	1233.670227	581	BNA_TF_H3K27ac	98	885	832.9330502	0.675166695
chr1	168476905	168477305	435.9368279	26	BNA_TF_H3K27ac	166	1045	1857.211189	4.260275962
chr11	72129986	72130386	153.8663561	555	BNA_TF_H3K27ac	123	1289	106.7137166	0.693548085
chr1	170651229	170651629	509.1933964	215	BNA_TF_H3K27ac	141	899	876.145584	1.720653862
chr11	74438271	74438671	2433.440205	318	BNA_TF_H3K27ac	123	1099	2977.875307	1.223730627
chr11	77278538	77278938	124.8702671	153	BNA_TF_H3K27ac	64	981	276.1295865	2.211331752
chr1	180185878	180186278	434.0157509	1779	BNA_TF_H3K27ac	208	937	67.34873636	0.155175788
chr1	181975490	181975890	906.2683419	1495	BNA_TF_H3K27ac	60	722	225.8117704	0.249166566
chr11	8579899	8580299	182.5172555	60	BNA_TF_H3K27ac	200	1261	633.2850968	3.46972726
chr11	86895176	86895576	289.8281131	301	BNA_TF_H3K27ac	231	643	371.6325907	1.2822517
chr11	88379618	88380018	893.7807582	310	BNA_TF_H3K27ac	192	889	1128.588892	1.262713346
chr1	186586927	186587327	1097.385467	252	BNA_TF_H3K27ac	106	1081	1696.016869	1.545506953
chr1	187836755	187837154	1291.14138	32	BNA_TF_H3K27ac	171	100	5385.989762	4.171494963
chr1	187836789	187837189	1291.226959	31	BNA_TF_H3K27ac	180	1141	5387.132454	4.172103454
chr1	189824549	189824949	299.7619871	1113	BNA_TF_H3K27ac	62	1015	109.4411441	0.36509347
chr1	189867503	189867903	360.4323832	417	BNA_TF_H3K27ac	136	968	339.4315628	0.941734369
chr1	189924222	189924622	256.1030723	259	BNA_TF_H3K27ac	116	1211	390.1259486	1.523316159
chr1	191622788	191623188	532.3008208	881	BNA_TF_H3K27ac	174	747	241.2498738	0.453220931
chr1	193336119	193336519	606.1414427	107	BNA_TF_H3K27ac	136	1279	1565.627133	2.582940255
chr12	102139722	102140122	50.33191417	80	BNA_TF_H3K27ac	33	1244	151.2220546	3.004496393
chr12	103353517	103353917	1712.02277	230	BNA_TF_H3K27ac	191	862	2829.276099	1.652592564
chr12	103353527	103353926	1712.097101	231	BNA_TF_H3K27ac	195	692	2829.310662	1.652541003
chr12	103358273	103358672	4187.565462	1499	BNA_TF_H3K27ac	83	693	1040.750655	0.248533585
chr12	103358275	103358675	4187.565462	1500	BNA_TF_H3K27ac	82	1114	1040.750655	0.248533585
chr12	108237694	108238094	1138.554473	419	BNA_TF_H3K27ac	176	1007	1070.12338	0.939896514
chr12	113137772	113138172	820.0932788	87	BNA_TF_H3K27ac	244	1274	2368.062603	2.887552751
chr12	113137777	113138176	820.0932788	88	BNA_TF_H3K27ac	240	736	2368.062603	2.887552751
chr12	15594719	15595119	190.1354897	145	BNA_TF_H3K27ac	162	632	432.7600741	2.276061532
chr12	15617299	15617699	893.686815	168	BNA_TF_H3K27ac	222	814	1844.547825	2.06397565
chr12	16649761	16650161	191.6796221	34	BNA_TF_H3K27ac	157	896	768.6688305	4.01017501
chr12	16836068	16836468	505.9809336	411	BNA_TF_H3K27ac	166	705	478.3189886	0.945330064
chr12	17769442	17769842	2065.400232	223	BNA_TF_H3K27ac	135	683	3476.710391	1.683310739
chr12	39001106	39001506	123.5402939	432	BNA_TF_H3K27ac	16	768	112.5755123	0.911245301
chr12	52877147	52877547	173.2552072	119	BNA_TF_H3K27ac	227	712	428.5171167	2.473328932
chr12	54405027	54405427	2288.693598	325	BNA_TF_H3K27ac	77	813	2690.190005	1.175426019
chr12	70649407	70649807	202.6168127	673	BNA_TF_H3K27ac	96	1276	120.1824072	0.593151208
chr12	79055312	79055712	1982.447861	383	BNA_TF_H3K27ac	285	949	1957.522361	0.987426907
chr12	81862491	81862891	2337.178936	131	BNA_TF_H3K27ac	144	762	5502.423056	2.35430115
chr12	85436039	85436439	1355.882204	69	BNA_TF_H3K27ac	288	1180	4366.103557	3.220120114
chr12	85436101	85436500	899.8678792	73	BNA_TF_H3K27ac	296	63	2826.724615	3.141266269
chr12	9077728	9078128	1474.697808	699	BNA_TF_H3K27ac	153	1197	848.0042507	0.575035947
chr12	9092005	9092405	1451.031348	494	BNA_TF_H3K27ac	91	1234	1149.155489	0.791957728
chr13	104692617	104693017	72.77971421	261	BNA_TF_H3K27ac	117	1093	110.6910427	1.520905158
chr13	110527701	110528101	314.3581672	146	BNA_TF_H3K27ac	50	1018	711.952852	2.264782424
chr13	114288420	114288820	97.48222827	105	BNA_TF_H3K27ac	78	799	253.2409246	2.597816331
chr13	117707343	117707743	11.43759997	39	BNA_TF_H3K27ac	239	881	44.58078512	3.897739495
chr13	12129117	12129516	279.6367254	336	BNA_TF_H3K27ac	190	62	315.8905007	1.129645973
chr13	12129148	12129548	279.9860443	337	BNA_TF_H3K27ac	184	644	316.1204713	1.129057957
chr13	12133453	12133853	823.057013	408	BNA_TF_H3K27ac	391	754	780.8167305	0.948678789
chr13	12133501	12133900	822.2126269	407	BNA_TF_H3K27ac	394	64	780.0616996	0.94873476
chr13	24620503	24620903	780.0750785	138	BNA_TF_H3K27ac	122	1164	1812.85362	2.323947617
chr13	32764597	32764997	1463.214345	929	BNA_TF_H3K27ac	169	1242	632.8201451	0.432486291
chr13	32922557	32922957	65.31455762	11	BNA_TF_H3K27ac	137	1139	372.5893554	5.704537686
chr1	33751283	33751683	3780.97659	370	BNA_TF_H3K27ac	132	776	3835.731117	1.014481583
chr13	38148264	38148663	465.7691535	129	BNA_TF_H3K27ac	259	218	1100.803461	2.36340997
chr13	38148354	38148754	234.4865964	134	BNA_TF_H3K27ac	248	1188	551.0209221	2.349903706
chr13	41345603	41346003	104.0711089	1255	BNA_TF_H3K27ac	128	831	33.11244705	0.318171367
chr13	41643754	41644154	113.2970577	217	BNA_TF_H3K27ac	290	860	192.9632062	1.703161672
chr13	43134481	43134881	29.91885	953	BNA_TF_H3K27ac	130	1184	12.50079187	0.417823274
chr13	43191661	43192061	806.6807694	814	BNA_TF_H3K27ac	144	694	393.6685008	0.488010271
chr1	34275789	34276189	918.6311324	1050	BNA_TF_H3K27ac	41	810	350.841395	0.381917597
chr13	44058239	44058639	616.8108645	711	BNA_TF_H3K27ac	147	1078	349.6077973	0.566799026
chr13	44248455	44248855	473.784288	144	BNA_TF_H3K27ac	169	1280	1081.026955	2.281685954
chr13	46226996	46227396	508.8266615	140	BNA_TF_H3K27ac	118	621	1175.225425	2.309677369
chr13	46571880	46572280	82.88764093	209	BNA_TF_H3K27ac	242	770	145.0950756	1.750503139
chr13	46571988	46572387	164.1130928	207	BNA_TF_H3K27ac	263	3	288.5939623	1.758506633
chr13	46883377	46883777	250.2719102	454	BNA_TF_H3K27ac	136	667	219.4881705	0.876998822
chr13	46885358	46885758	3497.865259	1820	BNA_TF_H3K27ac	70	779	474.8732588	0.135760878
chr13	4771178	4771578	620.3167559	861	BNA_TF_H3K27ac	238	733	284.9257362	0.459322973
chr13	59506507	59506907	242.7549523	1167	BNA_TF_H3K27ac	69	717	84.19668297	0.346838168
chr13	71784757	71785157	1082.153461	341	BNA_TF_H3K27ac	74	1030	1189.061229	1.098791689
chr13	73170290	73170690	864.1054123	300	BNA_TF_H3K27ac	152	708	1108.037633	1.282294518
chr13	80535623	80536023	612.4521273	17	BNA_TF_H3K27ac	141	1214	2949.06608	4.815178115
chr13	81131905	81132305	654.9143363	985	BNA_TF_H3K27ac	43	877	266.1746816	0.406426714
chr13	90012198	90012598	1504.111727	496	BNA_TF_H3K27ac	169	1293	1180.364308	0.784758397
chr1	40829395	40829795	835.3887188	316	BNA_TF_H3K27ac	103	1174	1031.034695	1.234197532
chr1	40829407	40829806	835.3887188	315	BNA_TF_H3K27ac	102	242	1031.069493	1.234239186
chr14	101483257	101483657	1603.493374	48	BNA_TF_H3K27ac	141	856	5893.451533	3.675382529
chr14	101532287	101532687	155.0627019	395	BNA_TF_H3K27ac	56	1269	150.1004593	0.967998477
chr14	117710408	117710808	266.6239628	311	BNA_TF_H3K27ac	186	960	335.2171785	1.257265758
chr14	121361579	121361979	815.1062424	1178	BNA_TF_H3K27ac	129	1157	279.5366982	0.342945108
chr14	11687500	11687899	345.3371962	226	BNA_TF_H3K27ac	27	911	572.8051171	1.658683523
chr14	11687594	11687994	448.2309253	249	BNA_TF_H3K27ac	25	805	698.4937165	1.558334504
chr14	20768538	20768938	183.416842	837	BNA_TF_H3K27ac	129	785	87.45638782	0.476817651
chr14	24575121	24575521	2701.670299	509	BNA_TF_H3K27ac	166	743	2051.9541	0.759513143
chr14	25629716	25630116	1893.437349	668	BNA_TF_H3K27ac	222	648	1129.090743	0.596317984
chr14	25666860	25667260	1081.781719	766	BNA_TF_H3K27ac	92	1251	562.2535195	0.519747662
chr1	43257960	43258360	543.8136768	1762	BNA_TF_H3K27ac	156	1266	87.94378097	0.161716751
chr14	34574015	34574415	5573.33178	54	BNA_TF_H3K27ac	230	940	19801.75956	3.55294828
chr14	34574044	34574443	5573.502938	53	BNA_TF_H3K27ac	235	22	19802.94108	3.55305116
chr14	34574060	34574459	5569.139797	52	BNA_TF_H3K27ac	232	201	19790.25309	3.553556529
chr14	34582632	34583031	1022.958542	843	BNA_TF_H3K27ac	152	202	482.6085328	0.471777216
chr14	34582648	34583048	1023.159197	844	BNA_TF_H3K27ac	155	1148	482.618723	0.471694653
chr14	51143303	51143703	707.2386023	754	BNA_TF_H3K27ac	76	991	374.1322206	0.529004242
chr14	55004448	55004847	351.1795692	44	BNA_TF_H3K27ac	150	348	1343.582969	3.825914395
chr14	55004481	55004881	351.1795692	43	BNA_TF_H3K27ac	153	696	1343.899543	3.826815854
chr14	58801417	58801817	227.2896175	1414	BNA_TF_H3K27ac	198	1222	61.51713849	0.270655295
chr14	61172642	61173041	210.9165072	1980	BNA_TF_H3K27ac	45	401	0.230033018	0.001090635
chr14	61172699	61173099	105.5753746	1981	BNA_TF_H3K27ac	42	1121	0.115016509	0.001089426
chr14	64099721	64100121	796.8313635	38	BNA_TF_H3K27ac	214	774	3116.726027	3.911399789
chr14	69830639	69831039	1185.663945	212	BNA_TF_H3K27ac	153	893	2058.640617	1.736276646
chr14	9000691	9001091	49.96413345	141	BNA_TF_H3K27ac	138	1100	115.0787249	2.303226675
chr1	50696922	50697322	700.8781223	121	BNA_TF_H3K27ac	84	969	1693.485638	2.416234127
chr15	12066522	12066922	1857.701374	725	BNA_TF_H3K27ac	36	1239	1029.514462	0.554187275
chr15	27539736	27540136	1502.364344	684	BNA_TF_H3K27ac	179	709	881.3675268	0.58665365
chr15	31396718	31397118	307.3620611	157	BNA_TF_H3K27ac	98	655	665.0622424	2.163774671
chr1	53269878	53270278	650.4586433	1037	BNA_TF_H3K27ac	29	645	251.3588913	0.386433317
chr15	57727210	57727610	545.4571301	505	BNA_TF_H3K27ac	81	1105	416.6384431	0.763833526
chr15	58204001	58204400	472.3907491	677	BNA_TF_H3K27ac	260	381	279.6142836	0.591913123
chr15	58204027	58204427	472.5914049	678	BNA_TF_H3K27ac	268	787	279.6909268	0.591823981
chr15	58585327	58585727	226.9754799	62	BNA_TF_H3K27ac	93	628	778.4553867	3.429689352
chr15	59197793	59198193	289.8325248	191	BNA_TF_H3K27ac	283	861	535.756157	1.848502536
chr15	62919262	62919662	531.1450822	33	BNA_TF_H3K27ac	97	711	2150.835605	4.04943146
chr15	64018461	64018861	2131.625783	586	BNA_TF_H3K27ac	95	1067	1434.779615	0.673091697
chr15	64402850	64403250	609.7501937	117	BNA_TF_H3K27ac	114	1175	1529.671412	2.508685405
chr15	64542391	64542791	2118.507603	524	BNA_TF_H3K27ac	66	1103	1563.91343	0.738214688
chr15	66743472	66743872	2201.973925	1243	BNA_TF_H3K27ac	88	1127	706.3795513	0.320793786
chr15	68403600	68404000	400.498754	1136	BNA_TF_H3K27ac	91	1102	143.3059282	0.357818662
chr15	73739688	73740088	7.01798425	1717	BNA_TF_H3K27ac	173	1181	1.257831452	0.179229734
chr15	77013743	77014143	1672.621665	497	BNA_TF_H3K27ac	211	993	1303.629837	0.779393131
chr15	77013824	77014223	1274.27389	466	BNA_TF_H3K27ac	228	50	1084.551084	0.851113008
chr15	77013848	77014247	1274.233145	465	BNA_TF_H3K27ac	241	525	1084.536149	0.851128503
chr15	79123594	79123994	58.30095564	1142	BNA_TF_H3K27ac	142	962	20.75374814	0.355976123
chr15	79243305	79243705	1134.684894	1404	BNA_TF_H3K27ac	120	1248	310.5303574	0.273671007
chr15	88839236	88839636	837.8851668	1714	BNA_TF_H3K27ac	119	963	150.7714565	0.179942864
chr15	96749148	96749548	105.357122	256	BNA_TF_H3K27ac	225	727	161.2369194	1.530384622
chr15	98181110	98181510	833.2824947	1143	BNA_TF_H3K27ac	123	919	296.4169871	0.355722086
chr15	98993006	98993406	24.60489088	1544	BNA_TF_H3K27ac	69	1065	5.783089143	0.235038195
chr16	12697119	12697519	519.3647662	400	BNA_TF_H3K27ac	56	903	497.8499021	0.958574656
chr16	13193667	13194067	1980.345724	393	BNA_TF_H3K27ac	169	835	1921.686829	0.970379467
chr16	14377325	14377725	525.5588393	386	BNA_TF_H3K27ac	190	1207	515.582872	0.981018363
chr16	22527588	22527988	2469.005514	278	BNA_TF_H3K27ac	132	759	3472.661969	1.406502314
chr16	22542718	22543118	2223.873722	171	BNA_TF_H3K27ac	152	1241	4528.803779	2.036448263
chr16	22564346	22564746	314.0448287	1375	BNA_TF_H3K27ac	196	771	88.1623041	0.28073159
chr16	24487782	24488182	173.1241986	206	BNA_TF_H3K27ac	232	891	305.7246214	1.765926566
chr16	33937598	33937998	646.1699221	394	BNA_TF_H3K27ac	244	1205	626.1742022	0.969055013
chr16	35130161	35130561	3362.726244	574	BNA_TF_H3K27ac	89	1075	2282.385368	0.678730649
chr16	35215215	35215615	111.2088662	1044	BNA_TF_H3K27ac	238	1034	42.82142316	0.385054039
chr16	43772410	43772810	2986.920841	94	BNA_TF_H3K27ac	75	672	8348.333911	2.794963227
chr16	73482168	73482568	502.0874331	507	BNA_TF_H3K27ac	93	914	382.7053118	0.762228422
chr16	92345161	92345561	320.1206102	392	BNA_TF_H3K27ac	332	1216	311.9347304	0.974428763
chr16	94472429	94472829	37.28169771	15	BNA_TF_H3K27ac	175	1262	189.2617628	5.076532841
chr16	96221465	96221865	1988.594914	1074	BNA_TF_H3K27ac	93	1202	745.5861506	0.374931136
chr17	10079932	10080332	934.8434828	489	BNA_TF_H3K27ac	302	995	754.157675	0.806720792
chr17	10390322	10390722	1676.056029	1259	BNA_TF_H3K27ac	184	718	532.1787451	0.317518469
chr1	71056127	71056527	88.74043822	1363	BNA_TF_H3K27ac	71	987	25.27004742	0.284763609
chr17	12688624	12689024	632.8724841	680	BNA_TF_H3K27ac	97	730	372.8243694	0.589098719
chr1	71307383	71307783	222.952575	528	BNA_TF_H3K27ac	188	1233	163.1056335	0.731570979
chr17	14517197	14517597	696.9139614	176	BNA_TF_H3K27ac	87	1270	1385.45691	1.987988455
chr17	14517366	14517765	514.1235154	158	BNA_TF_H3K27ac	125	6	1112.441362	2.163762849
chr17	26490909	26491309	1214.69333	36	BNA_TF_H3K27ac	197	657	4814.442899	3.963504846
chr17	26490948	26491347	1214.176941	35	BNA_TF_H3K27ac	194	17	4813.28196	3.964234368
chr17	27603546	27603945	2586.942599	112	BNA_TF_H3K27ac	66	146	6615.502395	2.55726679
chr17	27603564	27603964	2586.771441	111	BNA_TF_H3K27ac	60	970	6615.189593	2.557315072
chr1	72936908	72937308	103.259804	1200	BNA_TF_H3K27ac	73	790	34.8150588	0.337159838
chr1	73915136	73915536	2588.058866	478	BNA_TF_H3K27ac	118	808	2130.83867	0.8233347
chr1	73962259	73962659	671.6432753	353	BNA_TF_H3K27ac	43	910	713.2670894	1.061973097
chr1	73998683	73999083	917.4872718	893	BNA_TF_H3K27ac	100	1259	413.4729152	0.450657931
chr17	4220692	4221092	244.5487745	404	BNA_TF_H3K27ac	66	620	232.8701796	0.952244312
chr17	43855122	43855522	754.1903701	66	BNA_TF_H3K27ac	143	739	2461.735069	3.264076507
chr17	43855125	43855524	754.1903701	67	BNA_TF_H3K27ac	144	29	2461.720011	3.264056541
chr17	45812525	45812925	2240.012849	430	BNA_TF_H3K27ac	287	784	2057.857367	0.918681055
chr17	48024022	48024422	671.912367	553	BNA_TF_H3K27ac	93	1097	468.3484479	0.697037993
chr17	48436409	48436809	1225.896913	154	BNA_TF_H3K27ac	123	742	2676.271207	2.183112772
chr17	48436592	48436991	722.488892	183	BNA_TF_H3K27ac	133	4	1386.320499	1.918812199
chr17	49739942	49740342	947.5280869	173	BNA_TF_H3K27ac	59	1290	1909.767226	2.015525716
chr17	50070119	50070519	1106.038171	789	BNA_TF_H3K27ac	94	867	557.9750285	0.504480806
chr17	50753556	50753956	2135.762962	543	BNA_TF_H3K27ac	102	839	1517.072578	0.710318797
chr17	50760972	50761372	401.344801	399	BNA_TF_H3K27ac	78	844	385.8463831	0.961383783
chr17	56262543	56262943	623.3313729	233	BNA_TF_H3K27ac	103	883	1015.308334	1.628842022
chr1	76038987	76039387	1319.512949	23	BNA_TF_H3K27ac	293	1108	5840.331654	4.426126821
chr17	62415175	62415575	230.1584375	164	BNA_TF_H3K27ac	296	639	490.4209928	2.130797368
chr17	67311550	67311950	2088.044572	1858	BNA_TF_H3K27ac	110	698	245.2277108	0.117443715
chr17	71730649	71731049	1024.132126	124	BNA_TF_H3K27ac	131	794	2447.567863	2.389894625
chr17	73072237	73072637	191.6868033	356	BNA_TF_H3K27ac	247	979	203.2830077	1.06049558
chr17	73072258	73072657	191.6868033	357	BNA_TF_H3K27ac	252	480	203.2830077	1.06049558
chr17	81843869	81844269	98.30541343	81	BNA_TF_H3K27ac	82	834	293.8597122	2.989252595
chr1	79746075	79746475	681.7537748	977	BNA_TF_H3K27ac	196	1235	280.0050959	0.410712938
chr18	11144870	11145270	1375.579984	243	BNA_TF_H3K27ac	473	634	2176.6277	1.582334525
chr18	11472613	11473013	129.6974289	116	BNA_TF_H3K27ac	94	1035	326.0051666	2.513582339
chr18	12280466	12280866	483.4471426	334	BNA_TF_H3K27ac	111	1275	550.1553632	1.137984517
chr18	13660961	13661361	630.5983233	241	BNA_TF_H3K27ac	52	925	1002.197244	1.589279905
chr1	81696115	81696515	137.7427241	106	BNA_TF_H3K27ac	264	1119	356.8499918	2.590699393
chr18	21374954	21375354	1813.733525	169	BNA_TF_H3K27ac	133	923	3701.982732	2.04108414
chr18	35033702	35034102	164.4524205	1928	BNA_TF_H3K27ac	243	1171	11.04479362	0.067161028
chr18	35051995	35052395	1562.966732	152	BNA_TF_H3K27ac	371	916	3470.822718	2.220663209
chr18	55136253	55136653	676.5623714	1188	BNA_TF_H3K27ac	106	1283	230.4593295	0.340632792
chr18	61505333	61505733	626.0076206	177	BNA_TF_H3K27ac	181	773	1239.741922	1.980394298
chr18	72887514	72887914	59.72726165	254	BNA_TF_H3K27ac	77	1217	92.15186669	1.542877811
chr18	74703980	74704380	3661.515158	429	BNA_TF_H3K27ac	153	854	3365.592892	0.919180379
chr18	75223257	75223657	393.7796071	800	BNA_TF_H3K27ac	134	930	195.5449709	0.496584809
chr18	80617323	80617723	12.14677913	1449	BNA_TF_H3K27ac	63	715	3.172386443	0.261170999
chr18	82791037	82791437	705.4214448	388	BNA_TF_H3K27ac	186	765	690.4607539	0.97879184
chr1	86434404	86434804	11.96161489	1929	BNA_TF_H3K27ac	140	1225	0.77516627	0.064804483
chr19	14225005	14225405	178.6722167	181	BNA_TF_H3K27ac	167	992	347.0052589	1.942133284
chr1	90208453	90208853	723.1710538	275	BNA_TF_H3K27ac	73	1137	1027.042924	1.42019363
chr1	91015543	91015943	780.4468827	250	BNA_TF_H3K27ac	563	687	1212.156669	1.553157166
chr1	91016891	91017291	178.5617029	722	BNA_TF_H3K27ac	98	1189	99.30417045	0.556133644
chr1	91216887	91217287	120.3702434	244	BNA_TF_H3K27ac	185	952	189.0710692	1.570745924
chr19	36682606	36683006	564.8006623	247	BNA_TF_H3K27ac	249	1176	881.7990095	1.561257039
chr19	36682632	36683031	564.8006623	246	BNA_TF_H3K27ac	251	24	881.8350845	1.561320911
chr1	91922258	91922658	2190.673119	760	BNA_TF_H3K27ac	88	1026	1150.938111	0.525381035
chr1	92343468	92343868	1466.053741	705	BNA_TF_H3K27ac	116	1058	839.9448256	0.572929083
chr19	44886398	44886798	347.1832945	155	BNA_TF_H3K27ac	112	1047	756.3441443	2.178515373
chr19	45826138	45826538	242.0553922	812	BNA_TF_H3K27ac	107	846	118.2988178	0.488726224
chr19	48333050	48333450	230.6595906	522	BNA_TF_H3K27ac	61	876	170.5171319	0.739258799
chr19	53716395	53716795	1278.446079	296	BNA_TF_H3K27ac	441	1019	1687.864598	1.320246998
chr19	53716431	53716830	1334.814102	283	BNA_TF_H3K27ac	454	38	1848.990431	1.385204448
chr19	53716441	53716840	1333.17834	282	BNA_TF_H3K27ac	455	339	1847.93367	1.38611138
chr19	53716451	53716850	946.5567166	236	BNA_TF_H3K27ac	451	5	1526.526976	1.612715804
chr19	53729672	53730072	3919.334467	1024	BNA_TF_H3K27ac	146	1118	1538.800238	0.392617739
chr19	53801882	53802282	5787.642671	9	BNA_TF_H3K27ac	279	1149	34803.60626	6.013433835
chr19	56774695	56775095	2192.172851	564	BNA_TF_H3K27ac	153	1221	1507.319869	0.687591705
chr19	58822393	58822793	1464.573105	28	BNA_TF_H3K27ac	188	978	6138.96818	4.191643395
chr19	60939846	60940246	228.4785908	1480	BNA_TF_H3K27ac	152	1263	57.75593986	0.252784909
